,Survey_ID,black,native,asian,hawaiian,other_race,unsure_race,latinx,fst4,snd4,trd4,age_18-25,age_26-35,age_36-45,age_46-55,age_56-65,age_66+,age_Under 18,gender_Gender non-conforming or non-binary or other,gender_Man,gender_Prefer not to say,gender_Woman
3,6,1,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,0,0,1
5,9,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
10,17,1,0,0,0,0,0,0,False,True,False,1,0,0,0,0,0,0,0,0,0,1
15,40,1,1,0,0,0,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
17,46,1,0,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
22,57,0,0,0,0,0,1,0,False,False,False,0,0,1,0,0,0,0,0,0,1,0
26,64,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
30,72,1,0,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
32,76,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
33,78,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
35,83,0,1,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
40,94,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
53,119,0,1,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
56,123,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
58,125,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
63,137,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
67,144,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
68,145,0,0,0,0,1,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
76,160,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
78,163,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
79,166,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
80,175,0,0,0,0,1,0,1,False,False,False,0,1,0,0,0,0,0,0,1,0,0
85,182,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
86,183,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
87,184,1,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,0,0,1
88,185,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
92,189,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,1
97,199,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
98,200,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
102,208,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
106,215,1,1,0,0,1,0,0,False,False,False,0,0,0,0,1,0,0,0,0,0,1
113,232,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
115,234,0,0,0,0,1,0,0,False,False,True,0,0,0,0,0,1,0,0,1,0,0
118,238,0,0,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
122,253,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
125,260,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
128,266,1,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
133,274,0,0,0,0,1,0,1,False,True,False,0,0,0,0,1,0,0,0,1,0,0
134,275,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
142,292,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,1,0,0,1,0,0
144,297,0,0,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,0,1,0
147,300,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,1,0,0
151,305,0,0,0,0,1,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
156,314,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,1,0,0,1,0,0
